country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","15-04-2025 05:00:00",11.654054,92.734055,SO2,6,42,22
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","15-04-2025 05:00:00",11.654054,92.734055,PM10,3,500,110
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","15-04-2025 05:00:00",11.654054,92.734055,NO2,13,31,23
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","15-04-2025 05:00:00",16.5150833,80.5181667,PM2.5,38,51,44
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","15-04-2025 05:00:00",16.5150833,80.5181667,PM10,44,91,56
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","15-04-2025 05:00:00",16.5150833,80.5181667,NO2,26,42,32
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","14-04-2025 13:00:00",25.697189,85.245900,SO2,2,6,4
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","14-04-2025 13:00:00",25.697189,85.245900,CO,20,38,22
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","14-04-2025 13:00:00",25.697189,85.245900,OZONE,22,156,61
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","14-04-2025 13:00:00",25.560083,87.553265,PM2.5,8,32,19
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","14-04-2025 13:00:00",27.308328,84.531742,PM2.5,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","14-04-2025 13:00:00",27.308328,84.531742,OZONE,12,40,23
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","14-04-2025 13:00:00",26.63086,84.90051,PM2.5,10,45,27
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","14-04-2025 13:00:00",26.63086,84.90051,OZONE,11,13,12
India,Bihar,Munger,"Town Hall, Munger - BSPCB","14-04-2025 13:00:00",25.376776,86.471523,PM10,18,58,36
India,Bihar,Munger,"Town Hall, Munger - BSPCB","14-04-2025 13:00:00",25.376776,86.471523,CO,13,44,17
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","14-04-2025 13:00:00",16.554731,80.649110,OZONE,27,51,39
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","14-04-2025 13:00:00",17.72,83.3,CO,9,20,13
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","14-04-2025 13:00:00",26.071318,91.87488,NH3,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","14-04-2025 13:00:00",26.071318,91.87488,SO2,22,34,32
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","14-04-2025 13:00:00",26.071318,91.87488,CO,8,63,44
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","14-04-2025 13:00:00",26.10887,91.589544,NO2,16,22,18
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","14-04-2025 13:00:00",26.349082,92.68449,PM10,5,93,46
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","14-04-2025 13:00:00",26.349082,92.68449,SO2,6,14,12
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","14-04-2025 13:00:00",11.654054,92.734055,PM2.5,NA,NA,NA
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","14-04-2025 13:00:00",11.654054,92.734055,NO2,13,34,25
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","14-04-2025 13:00:00",16.5150833,80.5181667,SO2,11,18,15
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","14-04-2025 13:00:00",16.5150833,80.5181667,CO,2,96,36
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","14-04-2025 13:00:00",14.675886,77.593027,NO2,27,116,45
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","14-04-2025 13:00:00",13.204880,79.097889,PM2.5,34,325,132
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","14-04-2025 13:00:00",26.11442,85.39813,OZONE,16,58,34
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2025 13:00:00",26.1403345,85.3650192,PM10,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","14-04-2025 13:00:00",25.586562,85.043586,PM2.5,68,90,77
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","14-04-2025 13:00:00",25.586562,85.043586,NO2,28,35,32
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","14-04-2025 13:00:00",25.592539,85.227158,PM10,26,174,96
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","14-04-2025 13:00:00",26.146529,87.454184,PM10,21,110,58
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","14-04-2025 13:00:00",25.5626095,84.663264,NO2,6,9,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","14-04-2025 13:00:00",25.5626095,84.663264,SO2,8,10,9
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","14-04-2025 13:00:00",26.80365,84.51954,SO2,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","14-04-2025 13:00:00",26.80365,84.51954,CO,50,70,54
